CustomerID,Recency,Frequency,Monetary,Num_Returns,Return_Value,Return_Freq_Rate,Return_Value_Rate,Avg_Unit_Price,Max_Unit_Price,Num_Products,Price_Bucket,High_Value_Buyer,Adjusted_CLV,CLV_Gross,CLV_True,Return_Loss,Log_CLV_True,R_Score,F_Score,M_Score,RFM_Score,Avg_Order_Value,Revenue_Per_Day,Return_Damage,Segment,Cluster,Persona
12346,326,1,77183.6,1,77183.6,1.0,1.0,1.04,1.04,1,Low,0,0.0,77183.6,0.0,77183.6,0.0,1,1,5,7,77183.6,1882.5268,1.0,Potential,-1,Extreme Returner
12347,2,7,4310.0,0,0.0,0.0,0.0,2.64,12.75,103,Mid,0,4310.0,30170.0,30170.0,0.0,10.31463647711259,5,5,5,15,615.71,11.8082,0.0,Champion,0,Regular Buyers
12348,75,4,1797.24,0,0.0,0.0,0.0,5.76,40.0,22,High,1,1797.24,7188.96,7188.96,0.0,8.880440887417281,2,4,4,10,449.31,6.1549,0.0,Loyal,0,Regular Buyers
12349,19,1,1757.55,0,0.0,0.0,0.0,8.29,300.0,73,High,1,1757.55,1757.55,1757.55,0.0,7.472244884833674,4,1,4,9,1757.55,5.0504,0.0,Potential,0,Regular Buyers
12350,310,1,334.4,0,0.0,0.0,0.0,3.84,40.0,17,High,1,334.4,334.4,334.4,0.0,5.815323849389109,1,1,2,4,334.4,5.8667,0.0,Lost,0,Regular Buyers
12352,36,8,2506.04,3,960.63,0.375,0.3833,15.93,376.5,59,High,1,1545.41,20048.32,12363.28,7685.039999999999,9.422566949388335,3,5,5,13,313.26,7.5711,0.38,Champion,0,Regular Buyers
12353,204,1,89.0,0,0.0,0.0,0.0,6.07,9.95,4,High,1,89.0,89.0,89.0,0.0,4.499809670330265,1,1,1,3,89.0,0.546,0.0,Lost,0,Regular Buyers
12354,232,1,1079.4,0,0.0,0.0,0.0,4.5,16.95,58,High,1,1079.4,1079.4,1079.4,0.0,6.985086621918461,1,1,4,6,1079.4,7.9956,0.0,At-Risk,0,Regular Buyers
12355,214,1,459.4,0,0.0,0.0,0.0,4.2,12.75,13,High,1,459.4,459.4,459.4,0.0,6.132095676847728,1,1,2,4,459.4,3.0026,0.0,Lost,0,Regular Buyers
12356,23,3,2811.43,0,0.0,0.0,0.0,3.2,18.0,53,Mid,0,2811.43,8434.289999999999,8434.289999999999,0.0,9.040179374946273,4,3,5,12,937.14,8.1728,0.0,Loyal,0,Regular Buyers
12357,33,1,6207.67,0,0.0,0.0,0.0,3.35,25.0,131,Mid,0,6207.67,6207.67,6207.67,0.0,8.733701981297274,4,1,5,10,6207.67,18.5858,0.0,Loyal,1,Champion Buyers
12358,2,2,1168.06,0,0.0,0.0,0.0,8.27,40.0,13,High,1,1168.06,2336.12,2336.12,0.0,7.7566746811025,5,2,4,11,584.03,3.2002,0.0,Loyal,0,Regular Buyers
12359,58,4,6372.58,2,127.05,0.5,0.0199,8.62,145.0,214,High,1,6245.53,25490.32,24982.12,508.2000000000007,10.125955675800158,3,4,5,12,1593.14,20.6232,0.2119,Loyal,1,Champion Buyers
12360,52,3,2662.06,0,0.0,0.0,0.0,3.55,40.0,105,High,0,2662.06,7986.18,7986.18,0.0,8.985593035285454,3,3,5,11,887.35,8.451,0.0,Loyal,0,Regular Buyers
12361,287,1,189.9,0,0.0,0.0,0.0,3.34,15.0,10,Mid,0,189.9,189.9,189.9,0.0,5.251749730731702,1,1,1,3,189.9,2.3738,0.0,Lost,0,Regular Buyers
12362,3,10,5226.23,3,71.65,0.3,0.0137,3.94,29.95,201,High,1,5154.58,52262.299999999996,51545.8,716.4999999999927,10.850245411863629,5,5,5,15,522.62,14.3578,0.1282,Champion,1,Champion Buyers
12363,110,2,552.0,0,0.0,0.0,0.0,2.31,7.95,23,Low,0,552.0,1104.0,1104.0,0.0,7.007600613951853,2,2,3,7,276.0,2.1479,0.0,Potential,0,Regular Buyers
12364,8,4,1313.1,0,0.0,0.0,0.0,1.91,15.0,70,Low,0,1313.1,5252.4,5252.4,0.0,8.566630765018568,5,4,4,13,328.28,3.6577,0.0,Champion,0,Regular Buyers
12365,291,2,641.38,1,320.69,0.5,0.5,17.15,320.69,22,High,1,320.69,1282.76,641.38,641.38,6.465180028897591,1,2,3,6,320.69,8.4392,0.5,At-Risk,0,Regular Buyers
12367,4,1,168.9,0,0.0,0.0,0.0,3.2,18.0,11,Mid,0,168.9,168.9,168.9,0.0,5.135210028677887,5,1,1,7,168.9,0.4653,0.0,Potential,0,Regular Buyers
12370,51,4,3545.69,0,0.0,0.0,0.0,2.8,40.0,143,Mid,0,3545.69,14182.76,14182.76,0.0,9.559852927137118,3,4,5,12,886.42,11.2205,0.0,Loyal,0,Regular Buyers
12371,45,2,1887.96,0,0.0,0.0,0.0,3.87,40.0,63,High,1,1887.96,3775.92,3775.92,0.0,8.236664141656792,3,2,4,9,943.98,5.8632,0.0,Potential,0,Regular Buyers
12372,72,3,1298.04,0,0.0,0.0,0.0,3.0,18.0,34,Mid,0,1298.04,3894.12,3894.12,0.0,8.26747976655941,3,3,4,10,432.68,4.4001,0.0,Loyal,0,Regular Buyers
12373,311,1,364.6,0,0.0,0.0,0.0,4.58,40.0,14,High,1,364.6,364.6,364.6,0.0,5.901539839579995,1,1,2,4,364.6,6.5107,0.0,Lost,0,Regular Buyers
12374,25,1,742.93,0,0.0,0.0,0.0,4.22,40.0,33,High,1,742.93,742.93,742.93,0.0,6.6119469443852195,4,1,3,8,742.93,2.1723,0.0,Potential,0,Regular Buyers
12375,11,2,457.5,1,2.08,0.5,0.0045,6.91,40.0,14,High,1,455.42,915.0,910.84,4.159999999999968,6.815464536086689,5,2,2,9,228.75,1.2851,0.2027,Potential,0,Regular Buyers
12377,315,2,1628.12,0,0.0,0.0,0.0,2.72,40.0,72,Mid,0,1628.12,3256.24,3256.24,0.0,8.08863549000388,1,2,4,7,814.06,31.31,0.0,Potential,0,Regular Buyers
12378,130,1,4008.62,0,0.0,0.0,0.0,3.0,16.95,219,Mid,0,4008.62,4008.62,4008.62,0.0,8.29645175271804,2,1,5,8,4008.62,16.914,0.0,Potential,0,Regular Buyers
12379,82,2,852.24,1,1.95,0.5,0.0023,2.87,15.0,39,Mid,0,850.29,1704.48,1700.58,3.900000000000091,7.439312510173323,2,2,3,7,426.12,2.9903,0.2014,Potential,0,Regular Buyers
12380,22,4,2724.81,1,4.25,0.25,0.0016,3.38,24.95,77,Mid,0,2720.56,10899.24,10882.24,17.0,9.294979270195713,4,4,5,13,681.2,7.898,0.101,Champion,0,Regular Buyers
12381,5,5,1845.31,1,41.35,0.2,0.0224,4.68,40.0,70,High,1,1803.96,9226.55,9019.8,206.75,9.107288300919793,5,4,4,13,369.06,5.0975,0.0934,Champion,0,Regular Buyers
12383,185,5,1850.56,1,11.25,0.2,0.0061,3.09,18.0,84,Mid,0,1839.31,9252.8,9196.55,56.25,9.126692423224005,1,4,4,9,370.11,10.1679,0.0837,Potential,0,Regular Buyers
